_url,birth_year,weight,height,nationality
michel-le-denmat,1950.0,,,France
norman-alvis,1963.0,,,United States
dirk-ongenae,1953.0,,,Belgium
ramon-troncoso-sobrino,1981.0,,,Spain
richard-virenque,1969.0,65.0,179.0,France
enrique-alonso,1965.0,,,Spain
claudio-savini,1956.0,,,Italy
bruno-manuel-silva-pires,1981.0,63.0,174.0,Portugal
fabio-jakobsen,1996.0,78.0,181.0,Netherlands
lasse-bochmann,1983.0,,,Denmark
domenico-romano,1975.0,,,Italy
joab-schneiter,1998.0,,,Switzerland
andrei-toporizchev,1962.0,,,Russia
alex-aranburu,1995.0,63.0,178.0,Spain
jose-maria-yurrebaso,1955.0,,,Spain
aad-van-den-hoek,1951.0,77.0,186.0,Netherlands
julio-alberto-perez-cuapio,1977.0,58.0,171.0,Mexico
john-bogers,1964.0,,,Netherlands
robin-carpenter,1992.0,,178.0,United States
radoslav-rogina,1979.0,70.0,186.0,Croatia
ivan-santos,1982.0,,,Spain
richard-chassot,1970.0,,,Switzerland
oleksandr-polivoda,1987.0,,,Ukraine
juan-felipe-osorio,1995.0,65.0,180.0,Colombia
henri-dorgelo,1964.0,,,Netherlands
pierre-henri-lecuisinier,1993.0,65.0,176.0,France
roland-meier,1967.0,60.0,176.0,Switzerland
luciano-rabottini,1958.0,,,Italy
vincent-van-der-kooij,1979.0,,,Netherlands
artem-nych,1995.0,74.0,195.0,Russia
gorka-gerrikagoitia,1973.0,63.0,173.0,Spain
matteo-moschetti,1996.0,73.0,180.0,Italy
jose-maria-garcia,1998.0,,,Spain
christian-chaubet,1961.0,,,France
nils-politt,1994.0,80.0,192.0,Germany
tim-de-troyer,1990.0,72.0,178.0,Belgium
antonio-varriale,1974.0,,,Italy
andrei-teteriouk,1967.0,72.0,183.0,Kazakhstan
angel-vallejo-dominguez,1981.0,,,Spain
franco-ballerini,1964.0,78.0,185.0,Italy
julio-cesar-cadena,1963.0,,,Colombia
jurgen-tschan,1947.0,68.0,177.0,Germany
peter-williams-1,1986.0,,,Great Britain
jordan-cheyne,1991.0,,,Canada
zdislaw-krudysz,1961.0,,,Poland
maurizio-bellet,1952.0,,,Italy
paul-jesson,1955.0,,,New Zealand
jason-phillips,1969.0,,,Australia
patrick-van-roosbroeck,1969.0,,,Belgium
kyle-murphy,1991.0,67.0,185.0,United States
sergiy-adyeyev,1976.0,,,Ukraine
pierre-dewailly,1967.0,,,Belgium
